index,"Order ID",Date,stock,category,size,color
0,405-8078784-5731545,22/04/30,5,"AN : LEGGINGS",L,Red
1,171-9198151-1101146,22/04/30,5,"AN : LEGGINGS",M,Red
2,404-0687676-7273146,22/04/30,3,"AN : LEGGINGS",S,Red
3,403-9615377-8133951,22/04/30,6,"AN : LEGGINGS",XL,Red
4,407-1069790-7240320,22/04/30,3,"AN : LEGGINGS",XXL,Red
5,404-1490984-4578765,22/04/30,11,"AN : LEGGINGS",L,Orange
6,408-5748499-6859555,22/04/30,3,"AN : LEGGINGS",M,Orange
7,406-7807733-3785945,22/04/30,16,"AN : LEGGINGS",S,Orange
8,407-5443024-5233168,22/04/30,8,"AN : LEGGINGS",XL,Orange
9,402-4393761-0311520,22/04/30,14,"AN : LEGGINGS",XXL,Orange
10,407-5633625-6970741,22/04/30,1,"AN : LEGGINGS",L,Maroon
11,171-4638481-6326716,22/04/30,2,"AN : LEGGINGS",M,Maroon
12,405-5513694-8146768,22/04/30,2,"AN : LEGGINGS",S,Maroon
13,408-7955685-3083534,22/04/30,2,"AN : LEGGINGS",XL,Maroon
14,408-1298370-1920302,22/04/30,3,"AN : LEGGINGS",XXL,Maroon
15,403-4965581-9520319,22/04/30,10,"AN : LEGGINGS",L,Purple
16,406-9379318-6555504,22/04/30,4,"AN : LEGGINGS",M,Purple
17,405-9013803-8009918,22/04/30,6,"AN : LEGGINGS",S,Purple
18,402-4030358-5835511,22/04/30,3,"AN : LEGGINGS",XL,Purple
19,405-5957858-1051546,22/04/30,5,"AN : LEGGINGS",XXL,Purple
20,405-0607769-0716360,22/04/30,9,"AN : LEGGINGS",L,Yellow
21,404-8494550-5860325,22/04/30,7,"AN : LEGGINGS",M,Yellow
22,171-1305077-2813934,22/04/30,6,"AN : LEGGINGS",S,Yellow
23,404-6019946-2909948,22/04/30,7,"AN : LEGGINGS",XL,Yellow
24,402-3384087-4005164,22/04/30,13,"AN : LEGGINGS",XXL,Yellow
25,405-8191138-5176316,22/04/30,10,"AN : LEGGINGS",L,Green
26,403-9230474-9657916,22/04/30,13,"AN : LEGGINGS",M,Green
27,408-3484251-6901959,22/04/30,13,"AN : LEGGINGS",S,Green
28,405-7755803-4729935,22/04/30,15,"AN : LEGGINGS",XL,Green
29,404-5933402-8801952,22/04/30,13,"AN : LEGGINGS",XXL,Green
30,171-9040274-9291563,22/04/30,4,"AN : LEGGINGS",L,Pink
31,403-7056319-0979561,22/04/30,2,"AN : LEGGINGS",M,Pink
32,404-9632124-1107550,22/04/30,4,"AN : LEGGINGS",S,Pink
33,402-1465437-0579556,22/04/30,1,"AN : LEGGINGS",XL,Pink
34,404-7774085-3780319,22/04/30,2,"AN : LEGGINGS",XXL,Pink
35,402-2764952-1492318,22/04/30,4,"AN : LEGGINGS",L,Beige
36,406-0272200-7784379,22/04/30,7,"AN : LEGGINGS",M,Beige
37,403-4367956-2849158,22/04/30,4,"AN : LEGGINGS",S,Beige
38,403-4367956-2849158,22/04/30,3,"AN : LEGGINGS",XL,Beige
39,403-4242957-8599555,22/04/30,3,"AN : LEGGINGS",XXL,Beige
40,408-7165704-5643524,22/04/30,5,"AN : LEGGINGS",L,"Navy Blue"
41,402-8210765-3935569,22/04/30,3,"AN : LEGGINGS",M,"Navy Blue"
42,406-7398201-3869914,22/04/30,4,"AN : LEGGINGS",S,"Navy Blue"
43,408-3478480-0881162,22/04/30,2,"AN : LEGGINGS",XL,"Navy Blue"
44,402-7595162-9129931,22/04/30,2,"AN : LEGGINGS",XXL,"Navy Blue"
45,171-6876154-6233146,22/04/30,2,"AN : LEGGINGS",L,Black
46,408-3917043-5314763,22/04/30,1,"AN : LEGGINGS",M,Black
47,408-9281152-6213100,22/04/30,7,"AN : LEGGINGS",S,Black
48,403-3496411-3082707,22/04/30,3,"AN : LEGGINGS",XL,Black
49,171-9208368-0157156,22/04/30,3,"AN : LEGGINGS",XXL,Black
50,408-2137113-0982751,22/04/30,11,"AN : LEGGINGS",L,White
51,402-3628566-9688333,22/04/30,8,"AN : LEGGINGS",M,White
52,408-7138000-9728362,22/04/30,13,"AN : LEGGINGS",S,White
53,402-1752649-2274748,22/04/30,21,"AN : LEGGINGS",XL,White
54,402-7944191-1869101,22/04/30,12,"AN : LEGGINGS",XXL,White
55,407-4063876-9566742,22/04/30,2,"AN : LEGGINGS",L,Brown
